dist_code,month,fuel_type_petrol,fuel_type_diesel,fuel_type_electric,fuel_type_others,vehicleClass_MotorCycle,vehicleClass_MotorCar,vehicleClass_AutoRickshaw,vehicleClass_Agriculture,vehicleClass_others,seatCapacity_1_to_3,seatCapacity_4_to_6,seatCapacity_above_6,Brand_new_vehicles,Pre-owned_vehicles,category_Non-Transport,category_Transport
15_3,2020-01-01,2749,1397,4,2,2629,303,759,244,217,3043,1068,41,4022,130,3179,973
17_3,2020-01-01,2823,964,0,32,2727,219,120,450,303,3432,347,40,3676,143,3433,386
19_3,2020-01-01,1539,578,0,4,1442,166,135,100,278,1800,276,45,2061,60,1710,411
22_2,2020-01-01,3459,1037,0,0,3334,239,360,230,333,3869,585,42,4381,115,3819,677
23_2,2020-01-01,3460,856,0,0,3344,267,172,158,375,3792,427,97,4206,110,3790,526
20_1,2020-01-01,2890,1166,0,16,2715,368,127,541,321,3534,483,55,3941,131,3656,416
23_3,2020-01-01,2067,672,0,470,1990,217,554,135,313,2403,782,24,3145,64,2350,859
21_2,2020-01-01,5536,1528,6,10,5181,650,298,245,706,6017,962,99,6858,222,6095,985
19_1,2020-01-01,1354,372,0,5,1302,103,92,24,210,1532,186,13,1709,22,1431,300
15_1,2020-01-01,18560,3303,52,26,13383,4212,0,47,4299,17143,4273,504,20365,1576,17702,4239
21_5,2020-01-01,2075,490,0,6,2042,78,135,79,237,2316,229,26,2505,66,2210,361
22_1,2020-01-01,4773,1179,2,46,4569,451,286,289,405,5201,709,90,5797,203,5324,676
19_4,2020-01-01,1014,358,6,2,1002,48,129,10,191,1177,182,19,1355,25,1060,320
18_1,2020-01-01,4285,1118,2,22,4045,507,275,209,391,4612,760,55,5303,124,4793,634
17_1,2020-01-01,1851,550,2,0,1788,145,176,95,199,2043,328,32,2309,94,2033,370
17_2,2020-01-01,4524,1801,8,132,4085,861,551,382,586,4881,1480,100,6145,320,5352,1113
15_2,2020-01-01,16947,3842,29,40,14779,4085,0,19,1975,16259,4047,536,19269,1589,18953,1905
23_1,2020-01-01,5652,1300,4,193,5432,423,405,237,652,6208,863,78,7032,117,6122,1027
18_2,2020-01-01,2739,616,0,2,2651,200,133,186,187,2978,350,29,3250,107,3054,303
14_4,2020-01-01,1360,387,4,0,1349,52,81,141,128,1596,142,13,1701,50,1554,197
16_1,2020-01-01,21294,2869,41,1402,19343,3448,1363,0,1452,20406,4728,466,23444,2162,22839,2767
14_4,2020-02-01,1617,432,6,0,1577,86,78,154,160,1859,179,17,2009,46,1832,223
21_3,2020-02-01,1774,533,0,3,1730,76,41,201,262,2166,114,30,2243,67,2011,299
21_7,2020-02-01,1647,439,0,0,1601,90,44,168,183,1925,136,25,2019,67,1866,220
14_1,2020-02-01,4180,1261,2,0,4040,286,242,427,448,4830,531,82,5305,138,4771,672
17_3,2020-02-01,3655,982,2,22,3513,338,111,347,352,4155,418,87,4510,151,4231,430
14_3,2020-02-01,2360,876,6,0,2308,115,107,408,304,2987,228,27,3193,49,2856,386
19_2,2020-02-01,2676,650,0,12,2606,145,81,298,208,3087,221,30,3276,62,3063,275
20_2,2020-02-01,3470,793,0,3,3371,179,93,326,297,3957,276,33,4174,92,3886,380
14_2,2020-02-01,1904,439,0,0,1886,59,45,124,229,2219,113,11,2237,106,2073,270
20_4,2020-02-01,2304,663,0,8,2190,194,98,142,351,2624,297,54,2873,102,2534,441
15_3,2020-02-01,3744,1626,2,2,3600,342,871,330,231,4100,1209,65,5215,159,4284,1090
19_3,2020-02-01,2253,638,1,0,2162,170,134,92,334,2486,372,34,2786,106,2429,463
15_1,2020-02-01,19062,3542,75,28,15029,4366,0,36,3276,17592,4365,734,20867,1840,19527,3180
23_1,2020-02-01,4995,1697,0,217,4794,424,438,387,866,5898,906,99,6762,147,5648,1261
20_1,2020-02-01,3039,744,0,16,2863,362,131,194,249,3262,462,75,3657,142,3437,362
23_3,2020-02-01,2457,804,2,32,2342,268,117,200,368,2849,375,71,3213,82,2826,469
21_2,2020-02-01,5263,1454,1,2,4959,590,178,195,798,5805,789,124,6462,258,5775,945
19_1,2020-02-01,2025,472,2,2,1945,139,81,73,263,2266,214,21,2471,30,2161,340
22_2,2020-02-01,3287,1080,0,0,3121,272,251,288,435,3774,515,78,4244,123,3685,682
21_5,2020-02-01,2447,683,0,10,2407,83,130,154,366,2868,240,32,3072,68,2653,487
22_1,2020-02-01,4677,1463,2,44,4448,384,280,614,460,5458,660,68,5993,193,5466,720
19_4,2020-02-01,1318,308,2,0,1298,42,91,4,193,1461,149,18,1594,34,1346,282
17_1,2020-02-01,2890,648,0,6,2848,110,211,166,209,3175,348,21,3393,151,3125,419
17_2,2020-02-01,5311,1963,3,253,4849,887,602,533,659,5865,1509,154,7120,410,6309,1221
15_2,2020-02-01,19885,4336,46,44,17776,3971,0,34,2530,19437,3952,894,22371,1940,21884,2427
16_1,2020-02-01,23567,3153,48,1489,21330,3852,1463,0,1612,22377,5192,684,25709,2548,25241,3016
23_2,2020-02-01,3552,1178,2,2,3476,217,136,356,549,4244,386,104,4605,129,4070,664
18_1,2020-02-01,5829,1173,7,27,5664,411,213,158,590,6338,628,70,6883,153,6277,759
18_2,2020-02-01,3738,661,0,8,3633,172,106,94,402,4066,290,51,4282,125,3903,504
20_3,2020-02-01,1942,467,0,4,1894,104,61,162,192,2223,152,38,2341,72,2164,249
15_1,2020-03-01,14783,2340,62,24,12372,3368,0,23,1446,13325,3127,745,15215,1994,15837,1372
14_4,2020-03-01,1564,384,0,2,1520,56,54,85,235,1806,122,22,1860,90,1673,277
16_1,2020-03-01,19984,2116,454,2042,18419,2980,2006,2,1189,19270,4640,686,21833,2763,21495,3101
15_2,2020-03-01,17890,2386,32,28,14371,2813,0,36,3116,16979,2537,774,18278,2058,17272,3064
17_2,2020-03-01,4472,1195,12,241,4102,508,607,57,646,4689,1095,136,5486,434,4693,1227
17_1,2020-03-01,2569,798,0,2,2520,79,140,138,492,3120,229,20,3202,167,2743,626
18_1,2020-03-01,4605,1089,16,22,4439,314,166,163,650,5216,466,50,5538,194,4966,766
19_4,2020-03-01,782,508,0,0,766,30,32,8,454,1221,58,11,1252,38,810,480
21_5,2020-03-01,2165,897,4,2,2115,64,60,147,682,2886,144,38,2912,156,2340,728
22_2,2020-03-01,3469,634,0,0,3345,172,100,204,282,3771,278,54,3947,156,3735,368
19_1,2020-03-01,1426,738,0,0,1378,70,50,16,650,2038,116,10,2118,46,1470,694
21_2,2020-03-01,4794,878,6,0,4483,431,102,140,522,4985,563,118,5285,393,5068,610
23_3,2020-03-01,2161,774,0,54,2053,140,104,217,475,2653,254,82,2850,139,2428,561
20_1,2020-03-01,2595,504,0,6,2419,246,70,134,236,2741,320,42,2976,129,2817,288
22_1,2020-03-01,4487,910,0,16,4275,326,126,331,355,4899,432,82,5130,283,4959,454
23_1,2020-03-01,4371,1614,0,74,4155,306,202,428,968,5421,510,128,5871,188,4905,1154
23_2,2020-03-01,3031,1059,0,2,2931,153,68,405,535,3712,231,149,3931,161,3505,587
20_3,2020-03-01,1326,432,0,0,1284,52,18,100,304,1676,76,6,1712,46,1436,322
21_3,2020-03-01,1658,325,0,2,1622,52,40,84,187,1857,114,14,1838,147,1763,222
21_7,2020-03-01,1837,549,2,0,1795,74,42,175,302,2228,126,22,2302,86,2054,334
14_1,2020-03-01,3398,1017,4,1,3294,162,269,165,530,3947,439,32,4271,149,3633,787
17_3,2020-03-01,2859,674,4,35,2759,149,135,237,292,3242,278,52,3240,332,3165,407
14_3,2020-03-01,2791,700,2,0,2733,87,42,160,471,3336,145,12,3403,90,3000,493
18_2,2020-03-01,3074,977,0,0,2990,98,72,82,809,3827,160,64,3899,152,3172,879
20_2,2020-03-01,2429,440,6,0,2353,108,26,138,250,2729,126,20,2748,127,2605,270
14_2,2020-03-01,2496,233,0,0,2472,38,18,88,113,2645,52,26,2651,78,2600,129
20_4,2020-03-01,1868,336,2,0,1744,168,46,80,168,1970,196,40,2100,106,2000,206
15_3,2020-03-01,2612,1667,4,4,2488,182,816,103,698,3246,1009,32,4115,172,2781,1506
19_3,2020-03-01,1952,811,2,6,1858,140,96,74,603,2506,224,41,2657,114,2080,691
19_2,2020-03-01,1648,363,2,8,1598,76,50,111,186,1883,124,14,1979,42,1805,216
21_2,2020-04-01,14,35,0,0,14,0,0,23,12,49,0,0,49,0,37,12
19_1,2020-04-01,4,30,0,0,2,2,0,8,22,32,2,0,34,0,12,22
22_2,2020-04-01,34,37,0,0,34,0,0,29,8,71,0,0,69,2,63,8
21_5,2020-04-01,20,86,0,0,20,0,0,16,70,106,0,0,106,0,40,66
22_1,2020-04-01,90,46,0,0,90,0,0,37,9,136,0,0,134,2,127,9
19_4,2020-04-01,6,0,0,0,6,0,0,0,0,6,0,0,6,0,6,0
15_2,2020-04-01,0,15,0,0,0,0,0,8,7,15,0,0,15,0,10,5
17_1,2020-04-01,0,87,0,0,0,0,0,37,50,87,0,0,87,0,37,50
17_2,2020-04-01,4,62,0,0,4,0,0,44,18,64,0,2,64,2,48,18
16_1,2020-04-01,12,6,0,0,12,0,0,0,6,18,0,0,18,0,14,4
14_4,2020-04-01,4,37,0,0,4,0,0,31,6,41,0,0,41,0,37,4
15_1,2020-04-01,8,35,0,0,8,2,0,3,30,41,2,0,39,4,13,30
18_1,2020-04-01,3,57,0,0,3,0,2,45,10,58,2,0,60,0,50,10
23_3,2020-04-01,51,111,0,1,51,0,1,81,30,162,1,0,163,0,132,31
20_3,2020-04-01,0,36,0,0,0,0,0,22,14,36,0,0,36,0,28,8
23_2,2020-04-01,34,160,0,0,34,0,0,45,115,194,0,0,192,2,87,107
23_1,2020-04-01,31,217,0,0,31,0,0,139,78,248,0,0,248,0,171,77
19_3,2020-04-01,8,15,0,0,8,0,0,8,7,23,0,0,23,0,16,7
15_3,2020-04-01,0,36,0,0,0,0,0,22,14,36,0,0,36,0,22,14
20_4,2020-04-01,0,19,0,0,0,0,0,18,1,19,0,0,19,0,18,1
14_2,2020-04-01,0,25,0,0,0,0,0,18,7,25,0,0,25,0,18,7
20_2,2020-04-01,0,60,0,0,0,0,0,30,30,60,0,0,60,0,30,30
19_2,2020-04-01,2,30,0,0,2,0,0,28,2,32,0,0,30,2,32,0
14_3,2020-04-01,0,63,0,0,0,0,0,49,14,63,0,0,63,0,51,12
17_3,2020-04-01,4,88,0,0,4,0,0,76,12,92,0,0,92,0,80,12
14_1,2020-04-01,0,49,0,0,0,0,0,34,15,49,0,0,49,0,36,13
21_7,2020-04-01,2,101,0,0,2,0,0,25,76,103,0,0,103,0,27,76
21_3,2020-04-01,6,32,0,0,6,0,0,20,12,38,0,0,38,0,28,10
20_1,2020-04-01,0,34,0,0,0,0,0,22,12,34,0,0,34,0,24,10
18_2,2020-04-01,4,43,0,0,2,2,0,34,9,43,2,2,47,0,38,9
15_1,2020-05-01,4447,315,8,8,3567,1010,0,28,173,3756,922,100,4368,410,4635,143
16_1,2020-05-01,4704,178,4,19,4101,713,6,0,85,4165,650,90,4483,422,4828,77
14_4,2020-05-01,983,163,6,0,969,32,2,102,47,1118,30,4,1148,4,1109,43
18_2,2020-05-01,1490,107,0,2,1432,58,8,57,44,1528,66,5,1581,18,1547,52
20_3,2020-05-01,781,191,0,0,755,30,0,87,100,942,26,4,956,16,878,94
21_3,2020-05-01,985,381,0,0,965,22,4,229,146,1334,26,6,1356,10,1230,136
21_7,2020-05-01,1233,323,2,0,1192,43,6,221,96,1505,43,10,1529,29,1456,102
14_1,2020-05-01,2555,435,2,2,2453,124,28,245,144,2838,138,18,2958,36,2836,158
17_3,2020-05-01,1637,377,0,0,1557,86,10,286,75,1916,94,4,1969,45,1937,77
14_3,2020-05-01,1494,508,0,0,1456,40,18,297,191,1942,56,4,1970,32,1797,205
20_2,2020-05-01,1600,191,2,0,1544,60,2,127,60,1727,56,10,1741,52,1739,54
14_2,2020-05-01,1306,127,0,0,1260,52,0,87,34,1381,44,8,1395,38,1401,32
20_4,2020-05-01,1343,163,0,0,1282,63,6,98,57,1433,65,8,1472,34,1449,57
15_3,2020-05-01,1543,227,0,2,1449,106,10,118,89,1652,116,4,1728,44,1681,91
19_3,2020-05-01,1285,128,0,0,1190,99,8,26,90,1298,107,8,1365,48,1317,96
19_2,2020-05-01,1229,166,4,0,1185,50,6,114,44,1343,50,6,1370,29,1355,44
23_2,2020-05-01,1596,575,0,0,1552,56,8,283,272,2089,52,30,2119,52,1915,256
23_1,2020-05-01,3360,1127,0,0,3246,132,6,496,607,4333,124,30,4413,74,3891,596
17_2,2020-05-01,2678,199,2,2,2455,241,10,58,117,2630,230,21,2743,138,2766,115
17_1,2020-05-01,881,301,0,2,846,35,8,135,160,1137,45,2,1170,14,1020,164
18_1,2020-05-01,2398,347,8,1,2260,164,16,182,132,2574,168,12,2696,58,2612,142
19_4,2020-05-01,505,64,0,2,486,17,4,4,60,548,21,2,563,8,507,64
22_1,2020-05-01,3004,569,0,4,2862,179,16,406,114,3368,189,20,3474,103,3453,124
15_2,2020-05-01,4870,288,8,10,4125,881,0,26,144,4273,815,88,4880,296,5042,134
22_2,2020-05-01,2510,592,2,0,2404,130,26,330,214,2932,148,24,3036,68,2868,236
19_1,2020-05-01,1040,78,0,2,1004,48,8,16,44,1064,54,2,1106,14,1068,52
21_2,2020-05-01,2894,393,0,0,2710,214,10,206,147,3039,220,28,3230,57,3138,149
23_3,2020-05-01,1066,344,0,6,1040,34,2,216,124,1378,30,8,1394,22,1310,106
20_1,2020-05-01,1525,243,2,0,1423,107,12,124,104,1647,109,14,1730,40,1660,110
21_5,2020-05-01,2021,391,0,0,1999,22,8,205,178,2376,28,8,2392,20,2232,180
21_2,2020-06-01,6338,879,0,0,5873,560,38,429,317,6571,579,67,7013,204,6870,347
19_1,2020-06-01,1708,268,2,0,1637,97,24,12,208,1856,112,10,1955,23,1746,232
22_2,2020-06-01,3569,826,0,0,3328,273,51,483,260,4054,307,34,4277,118,4097,298
21_5,2020-06-01,3621,698,4,4,3547,88,28,274,390,4189,113,25,4267,60,3921,406
22_1,2020-06-01,5827,921,6,10,5483,472,52,463,294,6196,483,85,6593,171,6446,318
17_1,2020-06-01,2250,549,0,0,2167,101,24,238,269,2666,115,18,2720,79,2524,275
18_1,2020-06-01,5532,815,16,7,5233,374,72,332,359,5912,421,37,6284,86,5967,403
17_2,2020-06-01,5636,419,6,6,4946,746,38,123,214,5269,741,57,5721,346,5824,243
15_2,2020-06-01,17654,1168,26,26,14877,3388,0,51,558,15414,3139,321,17561,1313,18367,507
16_1,2020-06-01,16496,879,67,40,14428,2675,26,2,351,14696,2462,324,15978,1504,17142,340
23_3,2020-06-01,2455,529,0,0,2343,141,9,310,181,2825,142,17,2923,61,2805,179
19_4,2020-06-01,1027,147,0,0,989,47,35,8,95,1080,86,8,1150,24,1044,130
20_1,2020-06-01,3584,644,0,6,3274,367,35,333,225,3827,370,37,4095,139,3979,255
14_4,2020-06-01,2102,341,0,0,2039,87,22,182,113,2334,103,6,2391,52,2323,120
23_1,2020-06-01,5884,1385,0,0,5556,407,34,622,650,6759,406,104,7131,138,6602,667
19_3,2020-06-01,2367,311,0,2,2211,174,52,47,196,2440,204,36,2592,88,2432,248
15_3,2020-06-01,4177,411,2,0,3970,243,63,157,157,4273,281,36,4434,156,4387,203
20_4,2020-06-01,2454,420,2,0,2308,191,18,207,152,2655,198,23,2751,125,2712,164
14_2,2020-06-01,2115,221,0,0,2065,61,4,142,64,2267,61,8,2288,48,2275,61
20_2,2020-06-01,3765,455,2,2,3605,190,20,278,131,4014,199,11,4128,96,4081,143
19_2,2020-06-01,2172,303,0,2,2070,129,18,122,138,2325,141,11,2445,32,2327,150
14_3,2020-06-01,2667,583,2,0,2555,145,23,299,230,3078,150,24,3194,58,3024,228
17_3,2020-06-01,3742,675,0,6,3577,195,16,452,183,4204,179,40,4284,139,4256,167
14_1,2020-06-01,4612,565,4,0,4402,270,55,236,218,4844,306,31,5048,133,4921,260
21_7,2020-06-01,2482,690,0,0,2377,122,25,527,121,3017,146,9,3088,84,3034,138
21_3,2020-06-01,2037,461,0,2,1964,77,18,286,155,2403,83,14,2454,46,2345,155
20_3,2020-06-01,1718,333,0,0,1637,88,10,138,178,1951,94,6,1989,62,1871,180
23_2,2020-06-01,3875,1320,2,0,3713,191,30,673,590,4934,203,60,5119,78,4594,603
15_1,2020-06-01,14811,913,36,24,11944,3373,0,32,435,12334,3179,271,14478,1306,15383,401
18_2,2020-06-01,3375,349,0,0,3237,134,28,170,155,3552,150,22,3644,80,3549,175
20_3,2020-07-01,1572,251,0,0,1484,68,8,75,188,1747,69,7,1786,37,1649,174
15_1,2020-07-01,13184,1268,58,50,10036,3827,0,19,678,10596,3571,393,13225,1335,13969,591
14_4,2020-07-01,1583,396,4,0,1509,99,8,220,147,1874,103,6,1927,56,1867,116
16_1,2020-07-01,14616,943,46,51,12380,2743,25,5,503,12825,2492,339,14186,1470,15165,491
15_2,2020-07-01,15405,1393,60,54,12404,3746,0,40,722,13107,3435,370,15677,1235,16251,661
17_2,2020-07-01,4803,493,4,2,4037,833,30,93,309,4417,778,107,5005,297,4995,307
17_1,2020-07-01,1716,377,2,0,1617,113,16,114,235,1960,119,16,2029,66,1874,221
18_1,2020-07-01,5250,573,8,6,4851,468,56,179,283,5301,504,32,5743,94,5528,309
19_4,2020-07-01,1225,125,4,0,1195,46,42,7,64,1260,88,4,1333,21,1248,106
22_1,2020-07-01,4358,657,6,10,4011,445,29,331,215,4528,430,73,4868,163,4801,230
21_5,2020-07-01,2390,558,0,4,2288,114,26,138,386,2790,135,27,2903,49,2554,398
22_2,2020-07-01,2894,434,0,0,2619,318,70,189,132,2934,345,49,3228,100,3130,198
19_1,2020-07-01,1975,149,0,2,1878,115,59,10,64,1946,172,8,2085,41,2005,121
21_2,2020-07-01,5468,914,2,2,4983,593,47,365,398,5706,593,87,6197,189,5990,396
23_3,2020-07-01,2145,369,4,2,1952,233,4,134,197,2265,220,35,2446,74,2354,166
18_2,2020-07-01,3085,368,4,0,2929,167,34,144,183,3248,187,22,3374,83,3243,214
23_2,2020-07-01,3109,1055,0,0,2904,248,18,475,519,3827,245,92,4051,113,3643,521
21_3,2020-07-01,1622,311,0,0,1551,79,14,172,117,1833,89,11,1890,43,1818,115
21_7,2020-07-01,1926,514,0,0,1827,117,35,346,115,2283,141,16,2366,74,2296,144
14_1,2020-07-01,3802,618,6,4,3570,294,38,202,326,4084,306,40,4265,165,4098,332
20_1,2020-07-01,2643,472,6,7,2308,383,10,194,233,2729,365,34,2983,145,2897,231
14_3,2020-07-01,2493,641,0,0,2374,147,21,278,314,2964,163,7,3048,86,2841,293
19_2,2020-07-01,2489,348,22,2,2337,185,21,166,152,2651,198,12,2802,59,2698,163
17_3,2020-07-01,2751,567,2,5,2581,216,11,328,189,3096,201,28,3189,136,3186,139
14_2,2020-07-01,2193,255,6,2,2153,65,6,141,91,2383,58,15,2386,70,2380,76
20_4,2020-07-01,2035,341,2,0,1829,220,11,152,166,2124,223,31,2291,87,2209,169
15_3,2020-07-01,3178,462,1,2,2971,255,69,114,234,3313,296,34,3536,107,3351,292
19_3,2020-07-01,2177,385,0,0,1975,220,33,85,249,2296,235,31,2496,66,2282,280
23_1,2020-07-01,4383,1071,0,0,4099,385,8,415,547,5011,354,89,5312,142,4931,523
20_2,2020-07-01,3466,379,6,0,3294,204,15,226,112,3632,204,15,3754,97,3738,113
23_1,2020-08-01,4356,627,0,0,3926,508,10,211,328,4440,485,58,4853,130,4677,306
19_3,2020-08-01,2045,211,7,2,1842,234,32,32,125,1993,234,38,2204,61,2108,157
15_3,2020-08-01,3337,344,4,0,3018,364,44,111,148,3267,380,38,3559,126,3505,180
20_4,2020-08-01,2261,295,0,2,2006,265,12,79,196,2262,259,37,2484,74,2358,200
14_2,2020-08-01,1856,170,2,0,1799,75,4,88,62,1949,69,10,1969,59,1978,50
21_3,2020-08-01,1439,280,0,0,1359,78,10,159,113,1627,82,10,1669,50,1609,110
19_2,2020-08-01,2580,245,6,0,2443,162,19,100,107,2646,173,12,2780,51,2723,108
14_3,2020-08-01,2079,404,4,0,1949,151,10,164,213,2318,159,10,2429,58,2292,195
17_3,2020-08-01,2815,454,0,2,2584,262,6,254,165,2997,232,42,3165,106,3123,148
14_1,2020-08-01,3483,464,4,0,3258,290,29,122,252,3622,299,30,3797,154,3683,268
21_7,2020-08-01,1576,235,0,0,1456,133,11,147,64,1651,135,25,1753,58,1738,73
23_2,2020-08-01,2830,561,2,0,2653,219,16,204,301,3124,211,58,3302,91,3092,301
20_2,2020-08-01,3347,319,0,0,3140,240,16,144,126,3410,248,8,3555,111,3536,130
20_1,2020-08-01,3066,397,2,4,2691,423,22,106,227,3016,425,28,3344,125,3240,229
19_4,2020-08-01,1026,71,0,0,970,64,22,10,31,1006,86,5,1067,30,1044,53
21_2,2020-08-01,5147,601,2,0,4421,669,21,169,470,5022,653,75,5539,211,5271,479
19_1,2020-08-01,1853,153,2,0,1703,171,37,21,76,1785,200,23,1978,30,1899,109
22_2,2020-08-01,2333,360,0,2,2008,379,34,99,175,2254,399,42,2581,114,2486,209
21_5,2020-08-01,2071,248,0,6,1940,139,13,64,169,2157,144,24,2268,57,2149,176
22_1,2020-08-01,3839,557,0,12,3424,533,37,185,229,3806,528,74,4208,200,4152,256
18_1,2020-08-01,5665,629,19,13,5208,532,35,266,285,5751,535,40,6208,118,6101,225
17_1,2020-08-01,1813,257,2,4,1631,194,14,106,131,1862,191,23,1985,91,1946,130
17_2,2020-08-01,4949,419,14,20,4149,955,27,59,212,4388,873,139,5097,305,5192,210
15_2,2020-08-01,17290,1470,62,62,13809,4198,0,24,853,14618,3806,460,17388,1496,18097,787
16_1,2020-08-01,18461,1145,59,78,15659,3478,47,4,555,16091,3173,479,17994,1749,19197,546
14_4,2020-08-01,1570,278,0,0,1504,77,9,156,102,1759,84,5,1794,54,1741,107
15_1,2020-08-01,14438,1228,48,28,10924,4166,0,21,631,11492,3871,369,14338,1404,15181,561
20_3,2020-08-01,1740,168,0,0,1649,108,2,57,92,1796,99,13,1848,60,1820,88
23_3,2020-08-01,2426,328,1,4,2130,275,14,137,203,2451,266,42,2655,104,2568,191
18_2,2020-08-01,3006,302,0,0,2785,235,8,142,138,3055,217,36,3186,122,3184,124
15_1,2020-09-01,13486,1562,16,45,9798,4475,0,31,805,10544,4079,476,13572,1537,14379,730
14_4,2020-09-01,1237,316,0,0,1131,113,12,170,127,1426,121,6,1512,41,1429,124
20_3,2020-09-01,1792,321,2,0,1693,107,4,151,160,2002,98,15,2054,61,1957,158
21_3,2020-09-01,1538,530,0,0,1417,146,15,307,183,1903,142,23,2011,57,1886,182
21_7,2020-09-01,1801,370,4,2,1622,190,18,226,121,1954,192,31,2088,89,2046,131
14_1,2020-09-01,2770,619,4,2,2456,353,27,188,371,3002,343,50,3263,132,3033,362
17_3,2020-09-01,2648,701,0,20,2420,272,22,442,213,3070,247,52,3251,118,3168,201
14_3,2020-09-01,1838,607,0,0,1690,174,22,308,251,2238,182,25,2362,83,2197,248
19_2,2020-09-01,2340,379,5,6,2209,164,10,208,139,2550,173,7,2686,44,2599,131
20_2,2020-09-01,3502,552,4,6,3330,214,17,333,170,3827,215,22,3970,94,3897,167
14_2,2020-09-01,1587,252,0,0,1515,85,6,134,99,1746,81,12,1767,72,1746,93
20_4,2020-09-01,1958,364,0,1,1707,276,11,151,178,2024,257,42,2240,83,2146,177
15_3,2020-09-01,2795,501,0,2,2476,368,66,195,193,2852,397,49,3125,173,3068,230
19_3,2020-09-01,2064,297,0,0,1816,275,24,41,205,2056,269,36,2230,131,2136,225
23_1,2020-09-01,3988,1389,0,8,3574,479,26,482,824,4819,480,86,5231,154,4562,823
18_2,2020-09-01,3186,416,20,4,3037,183,12,211,183,3399,186,41,3539,87,3441,185
20_1,2020-09-01,3059,685,0,8,2680,488,20,283,281,3219,452,81,3589,163,3477,275
23_2,2020-09-01,3284,815,6,1,3012,307,36,388,363,3679,313,114,3991,115,3727,379
16_1,2020-09-01,17510,1406,42,198,14757,3431,116,3,849,15418,3235,503,17381,1775,18247,909
15_2,2020-09-01,16460,1915,23,64,12768,4543,0,41,1110,13831,4101,510,16864,1598,17429,1033
17_2,2020-09-01,4771,642,4,21,3927,1004,55,143,309,4346,964,126,5096,342,5097,341
18_1,2020-09-01,5033,914,21,27,4628,509,35,440,383,5429,529,37,5843,152,5641,354
19_4,2020-09-01,917,149,0,4,876,48,25,6,115,989,71,10,1027,43,933,137
17_1,2020-09-01,1562,533,4,6,1420,165,20,252,248,1912,172,21,2022,83,1871,234
21_5,2020-09-01,2113,391,0,4,1983,138,23,116,248,2313,145,50,2419,89,2251,257
22_2,2020-09-01,2750,459,2,24,2393,411,40,165,226,2723,453,59,3092,143,2988,247
19_1,2020-09-01,1286,260,2,6,1154,142,30,28,200,1366,170,18,1512,42,1336,218
21_2,2020-09-01,5426,1072,2,2,4767,801,31,371,532,5617,781,104,6240,262,5976,526
23_3,2020-09-01,2052,519,0,4,1781,272,14,310,198,2273,271,31,2497,78,2383,192
22_1,2020-09-01,4474,795,2,33,3939,612,51,235,467,4616,628,60,5081,223,4796,508
21_5,2020-10-01,2703,590,0,8,2543,185,24,176,373,3073,193,35,3230,71,2923,378
21_2,2020-10-01,8046,1170,8,8,7138,1138,49,404,503,8004,1096,132,8931,301,8704,528
19_1,2020-10-01,2512,492,0,0,2321,233,42,69,339,2719,261,24,2955,49,2629,375
22_2,2020-10-01,4425,902,6,2,3774,617,87,263,594,4603,655,77,5112,223,4672,663
22_1,2020-10-01,6516,1237,4,16,5806,937,77,415,538,6723,957,93,7431,342,7181,592
16_1,2020-10-01,25950,1943,76,200,21385,5707,109,0,968,22163,5306,698,25890,2279,27149,1020
18_1,2020-10-01,7479,1147,19,20,6627,1059,75,464,440,7526,1064,75,8467,198,8188,477
17_1,2020-10-01,1981,756,3,5,1729,278,77,357,304,2380,328,37,2670,75,2382,363
17_2,2020-10-01,6978,895,14,54,5502,1733,68,242,396,6109,1665,161,7487,454,7520,421
15_2,2020-10-01,25090,2651,75,134,18718,7811,0,95,1326,20012,7201,733,25758,2192,26709,1241
20_1,2020-10-01,4492,827,2,6,3766,862,25,332,342,4413,847,67,5093,234,4981,346
19_4,2020-10-01,1457,241,0,2,1375,92,49,15,169,1555,131,14,1684,16,1482,218
23_2,2020-10-01,4925,1464,4,3,4599,407,40,760,590,5892,399,105,6266,130,5784,612
19_2,2020-10-01,3143,599,4,14,2938,270,29,318,205,3451,283,26,3679,81,3543,217
19_3,2020-10-01,2699,410,2,0,2339,374,39,59,300,2685,380,46,2994,117,2785,326
15_3,2020-10-01,3758,702,2,10,3193,681,72,300,226,3709,699,64,4320,152,4199,273
20_4,2020-10-01,2511,461,4,4,2208,344,33,181,214,2595,356,29,2892,88,2742,238
14_2,2020-10-01,2019,368,5,2,1883,169,12,191,139,2211,166,17,2325,69,2243,151
20_2,2020-10-01,4230,612,8,2,3917,369,30,356,180,4450,379,23,4710,142,4663,189
14_3,2020-10-01,2495,637,0,2,2242,292,16,330,254,2822,283,27,3057,77,2883,251
17_3,2020-10-01,3336,936,0,22,2942,469,21,596,266,3794,452,48,4137,157,4035,259
14_1,2020-10-01,4884,912,4,2,4420,567,46,330,439,5169,569,64,5650,152,5342,460
21_7,2020-10-01,2430,480,0,0,2170,269,24,325,122,2607,285,18,2807,103,2772,138
21_3,2020-10-01,1586,532,0,4,1437,175,8,317,185,1929,179,14,2053,69,1937,185
20_3,2020-10-01,2539,598,0,8,2332,226,20,280,287,2895,225,25,3043,102,2847,298
18_2,2020-10-01,4164,635,12,2,3834,382,22,321,254,4368,368,77,4685,128,4552,261
