dist_code,month,sector,investment in cr,number_of_employees
19_3,01-06-2020,Food Processing,0.34,9
19_1,01-06-2020,Paper and Printing,0.1,8
19_1,01-06-2020,Food Processing,0.038,3
22_1,01-06-2020,Plastic and Rubber,0.185,6
22_1,01-06-2020,Granite and Stone Crushing,2.032,15
22_1,01-06-2020,Food Processing,7.09,35
20_4,01-06-2020,Beverages,0.09,4
19_3,01-06-2020,Granite and Stone Crushing,5.0691,15
20_4,01-06-2020,Agro based incl Cold Storages,0.295,14
15_2,01-06-2020,Engineering,20.9346,173
20_1,01-06-2020,Beverages,0.19,15
15_1,01-06-2020,Engineering,4.5864,30
15_1,01-06-2020,Electrical and Electronic Products,42.7002,100
15_1,01-06-2020,Agro based incl Cold Storages,0.64,28
21_3,01-06-2020,Food Processing,0.12,3
21_3,01-06-2020,Engineering,0.04,2
21_3,01-06-2020,Agro based incl Cold Storages,0.115,2
20_1,01-06-2020,Agro based incl Cold Storages,0.8825,38
21_2,01-06-2020,Agro based incl Cold Storages,1.65,37
21_2,01-06-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.65,64
21_2,01-06-2020,Granite and Stone Crushing,0.34,16
14_1,01-06-2020,Agro based incl Cold Storages,1.2838,0
14_1,01-06-2020,Engineering,0.6891,18
14_1,01-06-2020,Wood and Leather,4.8396,12
21_2,01-06-2020,Pharmaceuticals and Chemicals,0.55,18
21_2,01-06-2020,Textiles,8.55,180
18_1,01-06-2020,Agro based incl Cold Storages,0.145,2
18_1,01-06-2020,Engineering,0.0791,6
18_1,01-06-2020,Food Processing,0.7429,29
15_3,01-06-2020,Food Processing,0.2,6
15_3,01-06-2020,Textiles,2.7,45
18_1,01-06-2020,Granite and Stone Crushing,0.9026,10
15_1,01-06-2020,Food Processing,35.84,86
15_1,01-06-2020,Granite and Stone Crushing,0.98,9
15_1,01-06-2020,Pharmaceuticals and Chemicals,3.0723,20
15_1,01-06-2020,Plastic and Rubber,3.0847,20
17_3,01-06-2020,Food Processing,0.625,6
17_3,01-06-2020,Pharmaceuticals and Chemicals,1.3104,10
21_5,01-06-2020,Agro based incl Cold Storages,0.15,5
23_3,01-06-2020,Solar and Other Renewable Energy,746,45
23_3,01-06-2020,Plastic and Rubber,3.5,18
23_3,01-06-2020,Paper and Printing,0.1125,4
23_3,01-06-2020,Others,1.2974,30
23_3,01-06-2020,Granite and Stone Crushing,0.15,7
23_3,01-06-2020,Food Processing,0.3,3
23_3,01-06-2020,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",5.6,15
18_1,01-06-2020,Plastic and Rubber,1.6004,10
23_3,01-06-2020,Engineering,1.3333,30
21_5,01-06-2020,Beverages,0.036,0
21_5,01-06-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,10
21_5,01-06-2020,Food Processing,0.097,5
21_5,01-06-2020,Granite and Stone Crushing,0.158,10
15_1,01-06-2020,R&D,0.2726,50
20_2,01-06-2020,Food Processing,1.955,42
20_2,01-06-2020,Engineering,0.1725,10
20_2,01-06-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.08,10
20_2,01-06-2020,Beverages,0.11,4
20_2,01-06-2020,Agro based incl Cold Storages,0.6385,20
23_3,01-06-2020,Agro based incl Cold Storages,0.48,16
21_7,01-06-2020,Agro based incl Cold Storages,0.13,0
17_2,01-06-2020,Granite and Stone Crushing,6.1,55
17_2,01-06-2020,Others,22.333,435
17_2,01-06-2020,Agro based incl Cold Storages,0.24,15
17_2,01-06-2020,Engineering,0.4778,10
20_1,01-06-2020,Granite and Stone Crushing,6.6324,107
20_1,01-06-2020,Food Processing,0.13,10
21_7,01-06-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.05,4
20_1,01-06-2020,Engineering,0.1,4
20_1,01-06-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.895,47
20_1,01-06-2020,Plastic and Rubber,0.19,6
17_2,01-06-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.63,15
17_2,01-06-2020,Solar and Other Renewable Energy,0.24,343
17_2,01-06-2020,R&D,4.9,90
23_2,01-06-2020,Granite and Stone Crushing,2.65,40
17_2,01-06-2020,Pharmaceuticals and Chemicals,5.262,61
17_2,01-06-2020,Electrical and Electronic Products,1.8986,20
23_2,01-06-2020,Food Processing,3.6271,10
15_2,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.29,20
20_4,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.3325,14
15_2,01-07-2020,Engineering,5.3276,147
14_2,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",4.4,0
23_3,01-07-2020,Engineering,0.45,40
23_3,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.5474,7
18_2,01-07-2020,Agro based incl Cold Storages,0.08,2
20_4,01-07-2020,Agro based incl Cold Storages,0.2,4
15_2,01-07-2020,Electrical and Electronic Products,2.1092,44
21_3,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.65,12
20_4,01-07-2020,Granite and Stone Crushing,0.7,12
23_3,01-07-2020,Agro based incl Cold Storages,0.34,8
21_3,01-07-2020,Beverages,0.045,2
20_2,01-07-2020,Textiles,0.2325,12
20_2,01-07-2020,Engineering,0.4033,18
20_2,01-07-2020,Beverages,0.497,18
19_1,01-07-2020,Textiles,0.1,50
19_1,01-07-2020,Granite and Stone Crushing,0.1,9
19_1,01-07-2020,Food Processing,0.014,1
19_1,01-07-2020,Beverages,0.09,2
20_2,01-07-2020,Agro based incl Cold Storages,1.0465,37
23_1,01-07-2020,Agro based incl Cold Storages,0.75,23
14_1,01-07-2020,Agro based incl Cold Storages,11.9338,32
14_1,01-07-2020,Food Processing,0.41,9
14_3,01-07-2020,Agro based incl Cold Storages,1.7812,96
20_2,01-07-2020,Food Processing,0.5125,25
19_3,01-07-2020,Granite and Stone Crushing,0.2,15
19_3,01-07-2020,Plastic and Rubber,1.8,44
17_3,01-07-2020,Engineering,0.5806,6
17_3,01-07-2020,Food Processing,1.49,9
17_3,01-07-2020,Textiles,1.485,15
14_4,01-07-2020,Food Processing,4.23,44
22_2,01-07-2020,Electrical and Electronic Products,0.05,0
22_2,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.245,16
21_5,01-07-2020,Agro based incl Cold Storages,0.216,10
22_2,01-07-2020,Agro based incl Cold Storages,0.1,2
21_5,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.253,18
21_5,01-07-2020,Engineering,0.041,3
21_5,01-07-2020,Textiles,0.046,3
21_5,01-07-2020,Wood and Leather,0.041,3
20_1,01-07-2020,Granite and Stone Crushing,3.8688,110
15_2,01-07-2020,Agro based incl Cold Storages,5.02,90
20_1,01-07-2020,Food Processing,0.768,34
19_2,01-07-2020,Granite and Stone Crushing,0.19,10
19_2,01-07-2020,Engineering,3.1968,15
20_1,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.7275,38
20_1,01-07-2020,Agro based incl Cold Storages,0.38,18
23_3,01-07-2020,Plastic and Rubber,0.35,4
23_3,01-07-2020,Pharmaceuticals and Chemicals,600.75,1000
19_3,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.6,24
19_3,01-07-2020,Engineering,0.038,2
19_2,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,8
23_3,01-07-2020,Others,1,50
23_3,01-07-2020,Food Processing,5.6373,156
19_3,01-07-2020,Food Processing,0.5855,5
14_1,01-07-2020,Paper and Printing,0.25,10
20_1,01-07-2020,Engineering,0.175,10
21_2,01-07-2020,Agro based incl Cold Storages,2.4,13
20_2,01-07-2020,Wood and Leather,0.06,2
21_2,01-07-2020,Food Processing,0.9,18
22_1,01-07-2020,Granite and Stone Crushing,1.6094,12
15_1,01-07-2020,Textiles,0.25,5
17_1,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.19,15
17_1,01-07-2020,R&D,0.35,5
20_3,01-07-2020,Others,0.1825,12
17_2,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",3.15,47
22_1,01-07-2020,Food Processing,1.045,6
21_2,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.41,6
15_3,01-07-2020,Textiles,4.485,21
23_1,01-07-2020,Plastic and Rubber,30.11,40
23_1,01-07-2020,Pharmaceuticals and Chemicals,61.3768,100
23_1,01-07-2020,Paper and Printing,1,15
15_2,01-07-2020,Others,275,150
15_2,01-07-2020,Paper and Printing,0.445,14
23_1,01-07-2020,Textiles,0.25,10
15_3,01-07-2020,Plastic and Rubber,0.2386,5
15_1,01-07-2020,"Real Estate,Industrial Parks and IT Buildings",149,27000
15_1,01-07-2020,Pharmaceuticals and Chemicals,0.24,50
21_3,01-07-2020,Engineering,0.144,4
17_2,01-07-2020,Agro based incl Cold Storages,4.1,15
21_7,01-07-2020,Engineering,0.013,2
21_7,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.05,4
20_3,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.7775,40
23_2,01-07-2020,Granite and Stone Crushing,1.3413,12
22_1,01-07-2020,Agro based incl Cold Storages,0.21,8
15_1,01-07-2020,Agro based incl Cold Storages,1.05,0
15_1,01-07-2020,Engineering,13.1183,156
15_1,01-07-2020,Food Processing,0.05,8
15_1,01-07-2020,Granite and Stone Crushing,0.49,28
20_3,01-07-2020,Engineering,0.63,32
20_3,01-07-2020,Food Processing,0.7775,37
15_1,01-07-2020,Others,1.8898,0
15_1,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.18,75
15_3,01-07-2020,Food Processing,0.5,20
15_2,01-07-2020,Food Processing,63.159,175
19_4,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.01,55
18_1,01-07-2020,Engineering,0.09,8
20_3,01-07-2020,Agro based incl Cold Storages,1.769,98
18_1,01-07-2020,Agro based incl Cold Storages,0.4612,4
17_2,01-07-2020,Others,16.479,40
17_2,01-07-2020,Pharmaceuticals and Chemicals,0.5,15
17_2,01-07-2020,Plastic and Rubber,0.715,20
17_2,01-07-2020,Textiles,4.1807,40
19_4,01-07-2020,Food Processing,0.06,5
15_3,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.05,6
20_3,01-07-2020,Textiles,0.1,8
21_2,01-07-2020,Textiles,5.7,120
21_2,01-07-2020,Granite and Stone Crushing,0.5,25
23_1,01-07-2020,Food Processing,0.7309,16
23_1,01-07-2020,Engineering,0.63,8
14_1,01-07-2020,Plastic and Rubber,0.5,20
18_2,01-07-2020,Food Processing,0.01,1
14_1,01-07-2020,Pharmaceuticals and Chemicals,21.3417,145
18_1,01-07-2020,Food Processing,6.2815,64
17_2,01-07-2020,Food Processing,1.2968,20
21_3,01-07-2020,Granite and Stone Crushing,0.135,12
17_2,01-07-2020,Engineering,2.933,32
17_2,01-07-2020,Electrical and Electronic Products,9.1,200
15_2,01-07-2020,Plastic and Rubber,2.6889,45
15_2,01-07-2020,Pharmaceuticals and Chemicals,46.12,113
15_2,01-07-2020,R&D,2,10
15_3,01-07-2020,Beverages,0.25,155
23_1,01-08-2020,Agro based incl Cold Storages,1.278,21
23_3,01-08-2020,Food Processing,0.4891,15
17_2,01-08-2020,Textiles,0.84,20
17_2,01-08-2020,R&D,1.24,70
17_2,01-08-2020,Plastic and Rubber,30,80
23_3,01-08-2020,Engineering,3.0305,37
23_3,01-08-2020,Electrical and Electronic Products,4.268,65
23_1,01-08-2020,Food Processing,0.099,5
18_1,01-08-2020,Engineering,0.055,3
18_1,01-08-2020,Food Processing,1.724,30
17_2,01-08-2020,Others,2.8715,6
23_3,01-08-2020,Paper and Printing,0.45,8
15_2,01-08-2020,Electrical and Electronic Products,0.15,5
15_2,01-08-2020,Engineering,22.4334,258
17_2,01-08-2020,Food Processing,4,40
17_2,01-08-2020,Engineering,26.1798,252
17_2,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.4,15
14_1,01-08-2020,Food Processing,4.048,30
14_1,01-08-2020,Engineering,2.3445,68
14_1,01-08-2020,Agro based incl Cold Storages,2.28,10
17_3,01-08-2020,Food Processing,7.6632,154
17_3,01-08-2020,Pharmaceuticals and Chemicals,25.7,45
17_2,01-08-2020,Paper and Printing,6.6998,145
21_2,01-08-2020,Textiles,1.62,40
21_2,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.42,8
21_2,01-08-2020,Engineering,0.21,20
18_2,01-08-2020,Engineering,0.02,2
15_2,01-08-2020,Agro based incl Cold Storages,27.36,311
14_3,01-08-2020,Textiles,5.132,18
18_2,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,6
23_2,01-08-2020,Granite and Stone Crushing,0.463,10
15_2,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.9446,30
18_2,01-08-2020,Food Processing,0.02,3
21_2,01-08-2020,Agro based incl Cold Storages,0.38,10
23_2,01-08-2020,Pharmaceuticals and Chemicals,0.45,9
15_2,01-08-2020,Pharmaceuticals and Chemicals,410.6842,1277
21_2,01-08-2020,Food Processing,0.06,2
15_2,01-08-2020,Paper and Printing,0.25,5
19_2,01-08-2020,Food Processing,4.2895,51
18_1,01-08-2020,Agro based incl Cold Storages,0.17,6
18_2,01-08-2020,Agro based incl Cold Storages,0.25,22
19_2,01-08-2020,Engineering,0.09,3
14_2,01-08-2020,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.6,5
19_2,01-08-2020,Beverages,0.04,2
18_1,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,8
23_1,01-08-2020,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",4.86,20
23_3,01-08-2020,Pharmaceuticals and Chemicals,13.15,187
15_2,01-08-2020,Plastic and Rubber,1.7495,90
18_2,01-08-2020,Wood and Leather,0.16,12
15_2,01-08-2020,Food Processing,2.44,89
20_3,01-08-2020,Food Processing,2.0216,85
14_4,01-08-2020,Food Processing,4,20
20_1,01-08-2020,Engineering,0.2325,10
20_1,01-08-2020,Food Processing,0.898,60
15_1,01-08-2020,Textiles,2.7,51
20_3,01-08-2020,Granite and Stone Crushing,0.25,15
21_3,01-08-2020,Pharmaceuticals and Chemicals,0.08,5
15_1,01-08-2020,Solar and Other Renewable Energy,19.87,60
20_1,01-08-2020,Granite and Stone Crushing,2.902,90
22_1,01-08-2020,Wood and Leather,1.2,15
15_1,01-08-2020,Plastic and Rubber,2.436,90
21_5,01-08-2020,Agro based incl Cold Storages,0.06,5
15_1,01-08-2020,Pharmaceuticals and Chemicals,0.15,5
21_5,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.036,5
21_5,01-08-2020,Wood and Leather,0.052,7
20_3,01-08-2020,Paper and Printing,0.235,15
20_2,01-08-2020,Wood and Leather,0.25,4
20_3,01-08-2020,Textiles,0.735,18
15_1,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.1,20
15_1,01-08-2020,Beverages,0.4113,6
21_3,01-08-2020,Granite and Stone Crushing,2.35,31
21_3,01-08-2020,Food Processing,0.03,2
21_3,01-08-2020,Engineering,0.15,3
20_4,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.6325,26
20_4,01-08-2020,Engineering,0.32,6
20_4,01-08-2020,Food Processing,0.7463,20
15_3,01-08-2020,Food Processing,2.6654,30
20_3,01-08-2020,Wood and Leather,0.1525,10
15_3,01-08-2020,Pharmaceuticals and Chemicals,3.53,30
20_4,01-08-2020,Agro based incl Cold Storages,0.4305,9
19_4,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.17,10
21_3,01-08-2020,Beverages,0.0225,1
15_1,01-08-2020,Granite and Stone Crushing,0.5,14
20_2,01-08-2020,Plastic and Rubber,0.14,4
22_1,01-08-2020,Agro based incl Cold Storages,1.14,18
20_2,01-08-2020,Food Processing,0.4,6
17_1,01-08-2020,Food Processing,10.315,35
17_1,01-08-2020,Others,8.4192,65
21_7,01-08-2020,Agro based incl Cold Storages,0.65,4
17_1,01-08-2020,Pharmaceuticals and Chemicals,5.5,23
22_1,01-08-2020,Food Processing,1.9579,22
19_3,01-08-2020,Engineering,0.03,2
20_2,01-08-2020,Paper and Printing,0.15,2
19_3,01-08-2020,Electrical and Electronic Products,0.1,10
22_1,01-08-2020,Granite and Stone Crushing,5.76,32
21_6,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.0794,4
21_6,01-08-2020,Food Processing,0.011,10
20_3,01-08-2020,Agro based incl Cold Storages,1.0305,59
20_3,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.145,12
20_3,01-08-2020,Engineering,0.1325,8
19_3,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.4,28
22_1,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.6855,29
17_1,01-08-2020,Engineering,150,400
22_1,01-08-2020,Beverages,0.07,2
20_2,01-08-2020,Engineering,0.19,4
20_2,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,8
20_2,01-08-2020,Beverages,0.18,4
22_2,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.13,6
20_1,01-08-2020,Agro based incl Cold Storages,0.7883,41
15_1,01-08-2020,Wood and Leather,1.71,20
20_2,01-08-2020,Agro based incl Cold Storages,0.8975,28
22_2,01-08-2020,Textiles,3.09,60
17_3,01-08-2020,R&D,2.2754,42
19_3,01-08-2020,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.1,5
22_2,01-08-2020,Food Processing,0.04,1
23_1,01-09-2020,Food Processing,6.575,42
23_1,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.237,8
21_2,01-09-2020,Paper and Printing,0.2,35
21_2,01-09-2020,Pharmaceuticals and Chemicals,0.11,4
21_2,01-09-2020,Food Processing,1.7,9
21_2,01-09-2020,Granite and Stone Crushing,10.4684,75
23_1,01-09-2020,Pharmaceuticals and Chemicals,45,1000
22_1,01-09-2020,R&D,1.2,12
21_2,01-09-2020,Electrical and Electronic Products,6.316,106
21_2,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.695,31
17_3,01-09-2020,Food Processing,2.327,23
23_1,01-09-2020,Agro based incl Cold Storages,0.15,4
17_3,01-09-2020,Agro based incl Cold Storages,0.24,5
15_2,01-09-2020,R&D,1.2,10
15_2,01-09-2020,Plastic and Rubber,4.7,56
21_2,01-09-2020,Agro based incl Cold Storages,2.8582,22
15_2,01-09-2020,Pharmaceuticals and Chemicals,1.47,40
20_3,01-09-2020,Agro based incl Cold Storages,0.8031,42
20_3,01-09-2020,Engineering,0.295,16
20_3,01-09-2020,Food Processing,1.255,34
20_3,01-09-2020,Paper and Printing,0.16,10
15_2,01-09-2020,Paper and Printing,0.12,6
21_2,01-09-2020,Engineering,0.4178,5
21_2,01-09-2020,Plastic and Rubber,0.25,10
20_4,01-09-2020,Pharmaceuticals and Chemicals,0.1,12
15_1,01-09-2020,Textiles,518.3263,600
21_5,01-09-2020,Beverages,0.051,5
14_1,01-09-2020,Wood and Leather,0.7499,9
14_1,01-09-2020,R&D,3.625,50
21_5,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.111,5
21_5,01-09-2020,Engineering,0.161,14
21_5,01-09-2020,Food Processing,6.197,33
20_1,01-09-2020,Wood and Leather,0.1075,10
20_1,01-09-2020,Textiles,0.1,25
20_1,01-09-2020,Granite and Stone Crushing,1.1252,37
20_1,01-09-2020,Food Processing,0.13,6
20_1,01-09-2020,Engineering,0.225,16
20_1,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.8225,54
20_1,01-09-2020,Beverages,0.336,21
20_1,01-09-2020,Agro based incl Cold Storages,0.3223,24
21_6,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.07,4
21_5,01-09-2020,Granite and Stone Crushing,1.52,10
21_5,01-09-2020,Textiles,0.128,11
21_5,01-09-2020,Agro based incl Cold Storages,0.471,12
18_1,01-09-2020,Agro based incl Cold Storages,0.19,2
18_1,01-09-2020,Beverages,0.08,2
18_1,01-09-2020,Engineering,0.05,8
15_1,01-09-2020,Plastic and Rubber,5.0774,60
15_1,01-09-2020,Pharmaceuticals and Chemicals,140.45,158
15_1,01-09-2020,Others,0.21,15
15_1,01-09-2020,Food Processing,2.278,78
15_1,01-09-2020,Electrical and Electronic Products,12.0149,50
15_1,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.98,30
21_7,01-09-2020,Food Processing,0.95,22
15_1,01-09-2020,Agro based incl Cold Storages,2.849,30
15_1,01-09-2020,Wood and Leather,0.9,27
21_7,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.06,4
20_4,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.375,22
20_4,01-09-2020,Beverages,0.27,6
15_3,01-09-2020,Textiles,3.8506,80
15_3,01-09-2020,Pharmaceuticals and Chemicals,1.245,46
15_3,01-09-2020,Food Processing,0.1066,8
20_4,01-09-2020,Agro based incl Cold Storages,0.2,10
18_1,01-09-2020,Pharmaceuticals and Chemicals,5.89,20
18_1,01-09-2020,Food Processing,1.6229,23
20_4,01-09-2020,Food Processing,0.025,3
15_2,01-09-2020,Others,0.24,0
15_2,01-09-2020,Engineering,12.7887,213
15_2,01-09-2020,Food Processing,0.25,27
17_1,01-09-2020,Food Processing,4.1746,49
17_1,01-09-2020,Engineering,0.4475,8
22_1,01-09-2020,Granite and Stone Crushing,1.5237,12
22_1,01-09-2020,Food Processing,0.8919,13
23_3,01-09-2020,Engineering,6.4182,141
20_2,01-09-2020,Agro based incl Cold Storages,0.9195,26
22_1,01-09-2020,Engineering,0.05,2
22_1,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.29,23
22_1,01-09-2020,Agro based incl Cold Storages,1.47,36
19_1,01-09-2020,Textiles,0.1,20
19_1,01-09-2020,Others,0.063,5
19_1,01-09-2020,Food Processing,1.0725,24
19_1,01-09-2020,Engineering,0.06,5
19_1,01-09-2020,Beverages,0.02,5
17_2,01-09-2020,Wood and Leather,0.5566,3
17_2,01-09-2020,Textiles,5.65,20
17_2,01-09-2020,Pharmaceuticals and Chemicals,2.55,30
17_2,01-09-2020,Others,1.9122,50
15_2,01-09-2020,Granite and Stone Crushing,3.1,15
17_2,01-09-2020,Food Processing,0.931,120
17_2,01-09-2020,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",50,120
14_4,01-09-2020,Food Processing,5.5,30
17_2,01-09-2020,Engineering,17.3583,190
22_2,01-09-2020,Textiles,0.67,20
22_2,01-09-2020,Food Processing,6.04,73
21_3,01-09-2020,Agro based incl Cold Storages,0.1974,10
19_2,01-09-2020,Engineering,0,4
19_2,01-09-2020,Food Processing,0.05,3
14_3,01-09-2020,Textiles,5.0255,30
14_3,01-09-2020,Others,0.8154,20
14_3,01-09-2020,Food Processing,1.554,20
23_3,01-09-2020,Textiles,6.0495,38
23_3,01-09-2020,Paper and Printing,0.7472,13
23_3,01-09-2020,Food Processing,5.31,54
21_3,01-09-2020,Beverages,0.028,2
21_3,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.342,20
21_3,01-09-2020,Engineering,0.02,2
21_3,01-09-2020,Food Processing,0.095,2
23_3,01-09-2020,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.1,5
21_3,01-09-2020,Granite and Stone Crushing,2.36,40
21_3,01-09-2020,Plastic and Rubber,0.2,7
20_2,01-09-2020,Food Processing,5.976,168
20_2,01-09-2020,Engineering,0.496,14
20_2,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.29,40
22_2,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.24,6
22_2,01-09-2020,Engineering,1.49,12
20_2,01-09-2020,Beverages,0.15,10
17_2,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",3.79,88
17_2,01-09-2020,Granite and Stone Crushing,2.7,30
23_2,01-09-2020,Engineering,0.5139,15
19_3,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.5125,25
19_3,01-09-2020,Granite and Stone Crushing,0.25,15
19_3,01-09-2020,Paper and Printing,0.5,19
15_2,01-09-2020,Agro based incl Cold Storages,0.05,3
15_2,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.6946,31
19_4,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.17,10
18_2,01-09-2020,Wood and Leather,0.29,9
18_2,01-09-2020,Food Processing,3.8792,38
14_5,01-09-2020,Food Processing,1.1122,50
18_2,01-09-2020,Beverages,0.01,1
18_2,01-09-2020,Agro based incl Cold Storages,5.7587,33
19_4,01-09-2020,Engineering,0.05,5
19_4,01-09-2020,Food Processing,0.31,16
19_4,01-09-2020,Plastic and Rubber,0.16,8
18_2,01-09-2020,Engineering,0.055,7
15_2,01-09-2020,Electrical and Electronic Products,1.4905,38
21_5,01-10-2020,Beverages,0.041,3
21_5,01-10-2020,Agro based incl Cold Storages,0.471,27
20_4,01-10-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.4221,32
20_4,01-10-2020,Agro based incl Cold Storages,0.38,20
15_1,01-10-2020,Granite and Stone Crushing,1.42,72
15_1,01-10-2020,Pharmaceuticals and Chemicals,4.251,28
15_1,01-10-2020,Plastic and Rubber,10.1102,119
15_1,01-10-2020,Textiles,20.25,135
17_2,01-10-2020,Engineering,3.8569,165
17_2,01-10-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.49,90
20_2,01-10-2020,Engineering,0.137,4
20_2,01-10-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.27,12
20_2,01-10-2020,Beverages,0.13,2
21_5,01-10-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.085,4
20_2,01-10-2020,Agro based incl Cold Storages,1.0105,30
17_3,01-10-2020,R&D,0.1025,87
17_3,01-10-2020,Plastic and Rubber,4.4549,15
17_3,01-10-2020,Food Processing,0.1,9
20_1,01-10-2020,Wood and Leather,0.1475,6
20_4,01-10-2020,Engineering,0.17,6
21_3,01-10-2020,Agro based incl Cold Storages,0.65,8
20_4,01-10-2020,Others,1.55,30
20_2,01-10-2020,Wood and Leather,0.142,4
15_2,01-10-2020,R&D,0.23,5
15_2,01-10-2020,Plastic and Rubber,0.65,27
15_2,01-10-2020,Pharmaceuticals and Chemicals,1.07,11
15_2,01-10-2020,Paper and Printing,3.6,26
15_2,01-10-2020,Food Processing,9.8851,111
20_2,01-10-2020,Others,0.1896,6
15_1,01-10-2020,Electrical and Electronic Products,15.58,60
15_2,01-10-2020,Electrical and Electronic Products,0.24,18
23_3,01-10-2020,Agro based incl Cold Storages,0.09,5
21_3,01-10-2020,Wood and Leather,0.02,1
21_3,01-10-2020,Plastic and Rubber,0.06,2
21_3,01-10-2020,Food Processing,0.43,30
21_3,01-10-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.391,23
15_2,01-10-2020,Engineering,6.56,133
23_3,01-10-2020,Automobile,1.5,8
20_2,01-10-2020,Food Processing,1.3713,29
17_2,01-10-2020,Textiles,12.7077,85
20_4,01-10-2020,Textiles,0.23,25
21_5,01-10-2020,Food Processing,2.06,120
21_5,01-10-2020,Solar and Other Renewable Energy,0.77,10
15_1,01-10-2020,Food Processing,3.0506,60
15_1,01-10-2020,Engineering,0.61,10
21_5,01-10-2020,Wood and Leather,0.0455,5
